Registration number,Legal name,Industry,City,address,Longitude,Latitude,Street Reference,Street nr
12-3457200,Florida Condos,Mortgage Brokerage,Fort Lauderdale,"494 Northeast 42nd Court, Fort Lauderdale, Florida",-80.10040,26.18181,2455,494
12-3457210,Florida Mortgage Ltd,Mortgage Brokerage,Miami Gardens,"1555 Northwest 212th Street, Miami Gardens, Florida",-80.25325,25.96909,5428,1555
12-3457220,Fort Lauderdale Real Estate LLC,Mortgage Brokerage,Deerfield Beach,"1906 Northwest 43rd Avenue, Deerfield Beach, Florida",-80.16312,26.31790,697,1906
12-3457230,Florida Beaches Mortgage,Mortgage Brokerage,Delray Beach,"539 Park Tree Place, Delray Beach, Florida",-80.10995,26.48245,1629,539
12-3457240,Sunset Finance,Mortgage Brokerage,Deerfield Beach,"168 Sawgrass Expressway, Deerfield Beach, Florida",-80.16325,26.30605,796,168
12-3457250,Sunset Mortgage,Mortgage Brokerage,Deerfield Beach,"980 Railroad Avenue, Deerfield Beach, Florida",-80.10095,26.31813,784,980
12-3457260,Sunset Negociation,Mortgage Brokerage,Edgewater,"599 Madre Street, Edgewater, Florida",-80.93866,28.99002,2023,599
23-4567890,Sunset Loans,Mortgage Brokerage,Delray Beach,"1159 Andrews Avenue, Delray Beach, Florida",-80.05882,26.47305,1082,1159
23-4567900,Sunny Financing,Mortgage Brokerage,Pinecrest,"1970 Southwest 58th Avenue, Pinecrest, Florida",-80.28537,25.64685,5949,1970
23-4567910,Sunny Loans ,Mortgage Brokerage,Kendall,"404 Southwest 121st Street, Kendall, Florida",-80.33257,25.65763,3967,404
23-4567920,Sunny Mortgage,Mortgage Brokerage,Deerfield Beach,"1088 Southwest 6th Avenue, Deerfield Beach, Florida",-80.11162,26.29946,991,1088
23-4567930,Sunny Beach Finance,Mortgage Brokerage,Kendall,"735 Maniac Expressway, Kendall, Florida",-80.37822,25.66201,3767,735
23-4567940,Sunny Beach Real Estate Financing,Mortgage Brokerage,Pinecrest,"1978 Southwest 129th Terrace, Pinecrest, Florida",-80.30456,25.65088,5923,1978
23-4567950,Sunny Beach Condos Mortgage,Mortgage Brokerage,Cutler Bay,"1789 Old Cutler Trail, Cutler Bay, Florida",-80.32672,25.58426,66,1789
23-4567960,Sunny Beachhouse finance,Mortgage Brokerage,Fort Lauderdale,"1531 Compass Isle, Fort Lauderdale, Florida",-80.10427,26.20512,2206,1531
23-4567970,Matthew Broderick Sr,Mortgage Brokerage,Fort Lauderdale,"1009 Northeast 20th Terrace, Fort Lauderdale, Florida",-80.11910,26.20077,2366,1009
23-4567980,Luigi Capo d'Istria,Mortgage Brokerage,Cutler Bay,"988 Southwest 77th Place, Cutler Bay, Florida",-80.31716,25.58824,250,988
23-4567990,Anthony Gonzalez,Mortgage Brokerage,Fort Lauderdale,"1328 Northwest 20th Court, Fort Lauderdale, Florida",-80.18598,26.15238,2590,1328
23-4568000,Joseph Augustus ,Mortgage Brokerage,Fort Lauderdale,"129 Southeast 15th Street, Fort Lauderdale, Florida",-80.13278,26.10315,2846,129
23-4568010,Karen Polaco,Mortgage Brokerage,Palmetto Bay,"1874 Southwest 60th Avenue, Palmetto Bay, Florida",-80.29239,25.64195,5735,1874
23-4568020,Janet Moore & Co,Mortgage Brokerage,Delray Beach,"610 Dr Carolkrol Way, Delray Beach, Florida",-80.09287,26.46773,1233,610
23-4568030,Solar y Playa Ltd,Mortgage Brokerage,Miami,"1586 Overbrook Street, Miami, Florida",-80.23656,25.73929,4833,1586
23-4568040,Solar y Playa Finance LTd,Mortgage Brokerage,Edgewater,"540 O Possum Camp Road, Edgewater, Florida",-80.95815,28.95078,2053,540
23-4568050,Sol y Arena Finance,Mortgage Brokerage,Miami Gardens,"1054 209th Terrace, Miami Gardens, Florida",-80.26075,25.96630,5160,1054
23-4568060,Sol y Arena Real Estate,Mortgage Brokerage,Miami,"113 Ruth Street, Miami, Florida",-80.24138,25.73296,4869,113
23-4568070,Sol y Arena Inc,Mortgage Brokerage,Fort Lauderdale,"382 Fryer Point, Fort Lauderdale, Florida",-80.11384,26.15605,2244,382
23-4568080,Sol y Arena Mortgage,Mortgage Brokerage,Kendall,"1832 Southwest 117th Terrace, Kendall, Florida",-80.34584,25.66083,3947,1832
23-4568090,Isabella Sanches,Mortgage Brokerage,Deerfield Beach,"417 Northwest 38th Way, Deerfield Beach, Florida",-80.15637,26.32239,668,417
23-4568100,Isabella Cardozo,Mortgage Brokerage,Pompano Beach,"752 Northwest 6th Court, Pompano Beach, Florida",-80.16057,26.23755,6465,752
23-4568110,Karen Cardozo,Mortgage Brokerage,Kendall,"1316 Southwest 86th Terrace, Kendall, Florida",-80.38051,25.68824,4134,1316
23-4568120,Aldo Peruzzi,Mortgage Brokerage,Homestead,"6 Northeast 11th Drive, Homestead, Florida",-80.42332,25.48365,3195,6
23-4568130,Giacomo Battistuta,Mortgage Brokerage,Pompano Beach,"60 Southeast 23rd Avenue, Pompano Beach, Florida",-80.10568,26.21077,6554,60
23-4568140,Gabriele Natale,Mortgage Brokerage,Kendall,"864 Southwest 119th Court, Kendall, Florida",-80.38465,25.69499,3960,864
23-4568150,Gennaro Esposito,Mortgage Brokerage,Delray Beach,"1316 Northwest 2nd Avenue, Delray Beach, Florida",-80.07536,26.48390,1550,1316
23-4568160,Karen Rubinstein,Mortgage Brokerage,Kendall,"593 Southwest 116th Place, Kendall, Florida",-80.38219,25.70702,3936,593
23-4568170,Sunshine Real Estate,Mortgage Brokerage,Kendall,"1785 Southwest 101st Terrace, Kendall, Florida",-80.38181,25.67423,3796,1785
23-4568180,Sunshine FInance Ltd,Mortgage Brokerage,Deerfield Beach,"1454 Farnham North, Deerfield Beach, Florida",-80.13290,26.30605,440,1454
23-4568190,Sunshine Mortgage Ltd,Mortgage Brokerage,Cutler Bay,"1086 Southwest 204th Lane, Cutler Bay, Florida",-80.33402,25.57701,162,1086
23-4568200,Sunshine Condos !,Mortgage Brokerage,Kendall,"314 Southwest 93rd Place, Kendall, Florida",-80.34610,25.65246,4185,314
23-4568210,Cubana Mortgage ltd,Mortgage Brokerage,Fort Lauderdale,"116 Northeast 68th Street, Fort Lauderdale, Florida",-80.11510,26.21038,2508,116
23-4568220,Cubana Real Estate,Mortgage Brokerage,Palmetto Bay,"572 Southwest 170th Street, Palmetto Bay, Florida",-80.34220,25.61226,5700,572
23-4568230,Cubana Finance Ltd,Mortgage Brokerage,Delray Beach,"840 McNab Road, Delray Beach, Florida",-80.09209,26.46093,1429,840
23-4568240,Florida Bay Mortgage,Mortgage Brokerage,Pompano Beach,"342 Southeast 24th Avenue, Pompano Beach, Florida",-80.09995,26.23064,6556,342
23-4568250,Florida Real Estate,Mortgage Brokerage,Miami,"1477 Southwest 1st Street, Miami, Florida",-80.30688,25.76946,4955,1477
23-4568260,Florida Finance Ltd,Mortgage Brokerage,Miami,"1199 South Bayhomes Drive, Miami, Florida",-80.25015,25.71313,4887,1199
23-4568270,Johnson & Sons,Mortgage Brokerage,Kendall,"211 Southwest 84th Lane, Kendall, Florida",-80.37964,25.68957,4122,211
23-4568280,Louis & Co,Mortgage Brokerage,Kendall,"142 Southwest 82nd Terrace, Kendall, Florida",-80.38000,25.69144,4114,142
23-4568290,John Mortgage Ltd,Mortgage Brokerage,Fort Lauderdale,"668 Cook Street, Fort Lauderdale, Florida",-80.17188,26.09048,2210,668
23-4568300,John Real Estate Ltd,Mortgage Brokerage,Miami,"1929 Glencoe Street, Miami, Florida",-80.21885,25.74126,4352,1929
23-4568310,John Real Estate Financing,Mortgage Brokerage,Pompano Beach,"1702 Northwest 26th Street, Pompano Beach, Florida",-80.16255,26.26273,6411,1702
23-4568320,John Loan Finance,Mortgage Brokerage,Miami Gardens,"1421 Northwest 54th Avenue, Miami Gardens, Florida",-80.28843,25.92139,5541,1421
23-4568330,Patrick Newman Sr,Mortgage Brokerage,Miami Gardens,"270 Northwest 42nd Avenue-37th Avenue Connector, Miami Gardens, Florida",-80.25920,25.91507,5523,270
23-4568340,Mortgage Franchise Florida,Mortgage Brokerage,Palmetto Bay,"182 Southwest 87th Place, Palmetto Bay, Florida",-80.33438,25.61612,5793,182
23-4568350,Real Estate Franchise Miami,Mortgage Brokerage,Homestead,"1582 Southwest 5th Court, Homestead, Florida",-80.48890,25.46472,3710,1582
23-4568360,Real Estate Franchise Fort Lauderdale,Mortgage Brokerage,Miami,"185 Southwest 30th Avenue, Miami, Florida",-80.24292,25.76418,5010,185
23-4568370,Brokerage Florida,Mortgage Brokerage,Delray Beach,"1120 Northwest 18th Street, Delray Beach, Florida",-80.09349,26.48292,1521,1120
23-4568380,Brokerage Miami,Mortgage Brokerage,Edgewater,"231 Ruth Drive, Edgewater, Florida",-80.90800,28.97927,2093,231
23-4568390,Brokerage Key Biscayne,Mortgage Brokerage,Pinecrest,"593 Southwest 130th Street, Pinecrest, Florida",-80.32001,25.64985,5925,593
23-4568400,Brokerage Venice,Mortgage Brokerage,Miami,"1407 Grove Street, Miami, Florida",-80.25935,25.71306,4355,1407
23-4568410,Miami Beach Loans,Mortgage Brokerage,Fort Lauderdale,"475 Northwest 6th Court, Fort Lauderdale, Florida",-80.16615,26.12959,2739,475
23-4568420,Miami Beach Real Estate Finance,Mortgage Brokerage,Fort Lauderdale,"772 Southwest 34th Street, Fort Lauderdale, Florida",-80.15717,26.08164,3021,772
23-4568430,Miami Beach Mortgage,Mortgage Brokerage,Palmetto Bay,"1356 Wayne Avenue, Palmetto Bay, Florida",-80.35078,25.60164,5827,1356
23-4568440,Miami Beach Franchise ,Mortgage Brokerage,Fort Lauderdale,"1329 Southwest 27th Court, Fort Lauderdale, Florida",-80.16083,26.08927,2986,1329
23-4568450,Diego Johnson,Mortgage Brokerage,Palmetto Bay,"1012 Southwest 69th Court, Palmetto Bay, Florida",-80.30592,25.63298,5743,1012
23-4568460,Michael Rodriguez & Sons,Mortgage Brokerage,Deerfield Beach,"1322 Cambridge C, Deerfield Beach, Florida",-80.13260,26.31401,374,1322
23-4568470,Julius Cesar Sr,Mortgage Brokerage,Palmetto Bay,"1868 Southwest 182nd Street, Palmetto Bay, Florida",-80.32450,25.60141,5730,1868
23-4568480,Brutus Scorpius Ltd,Mortgage Brokerage,Pompano Beach,"885 Northeast 8th Court, Pompano Beach, Florida",-80.11550,26.23932,6312,885
23-4568490,Real Estate & Co Miami,Mortgage Brokerage,Miami,"280 Southwest 20th Road, Miami, Florida",-80.20513,25.76123,4958,280
23-4568500,Real Estate & Co Florida,Mortgage Brokerage,Miami,"1180 M Road, Miami, Florida",-80.24622,25.76237,4402,1180
23-4568510,Real Estate & Co Ft Lauderdale,Mortgage Brokerage,Kendall,"957 Southwest 82nd Street, Kendall, Florida",-80.38413,25.69183,4112,957
23-4568520,Mortgage & Co Miami,Mortgage Brokerage,Miami,"272 South Bayshore Drive, Miami, Florida",-80.23703,25.72878,4889,272
23-4568530,Mortgage & Co Floridi,Mortgage Brokerage,Miami,"760 Northwest 67th Court, Miami, Florida",-80.30511,25.77052,4783,760
23-4568540,Mortgage & Co Ft Lauderdale,Mortgage Brokerage,Miami,"1227 Bahama Drive, Miami, Florida",-80.16678,25.77178,4259,1227
23-4568550,Mortgage Finance & Co,Mortgage Brokerage,Pinecrest,"91 Southwest 127th Street, Pinecrest, Florida",-80.30023,25.65333,5921,91
23-4568560,Immobiliar de Florida Inc,Mortgage Brokerage,Miami,"1163 Ventura Avenue, Miami, Florida",-80.25929,25.71838,5128,1163
23-4568570,Immobiliar Financia Ltd,Mortgage Brokerage,Deerfield Beach,"1145 Southwest 5th Terrace, Deerfield Beach, Florida",-80.11077,26.30030,990,1145
23-4568580,Financia de Florida Ltd,Mortgage Brokerage,Deerfield Beach,"1313 Westbury H, Deerfield Beach, Florida",-80.13276,26.31613,1050,1313
23-4568590,Malcom Jackson,Mortgage Brokerage,Delray Beach,"412 Rainberry Lakes Drive, Delray Beach, Florida",-80.09374,26.47356,1654,412
23-4568600,Donald Rumsteack,Mortgage Brokerage,Cutler Bay,"1581 Southwest 88th Avenue, Cutler Bay, Florida",-80.33427,25.56462,282,1581
23-4568610,Anatoly Pedro Liev,Mortgage Brokerage,Miami,"1976 East Port Boulevard, Miami, Florida",-80.15442,25.77031,4331,1976
23-4568620,Malo Ourtagata & Son,Mortgage Brokerage,Fort Lauderdale,"486 Southwest 23rd Terrace, Fort Lauderdale, Florida",-80.17295,26.09544,2970,486
23-4568630,Delphine Caylus,Mortgage Brokerage,Fort Lauderdale,"396 Northeast 15th Street, Fort Lauderdale, Florida",-80.12895,26.14638,2336,396
23-4568640,Ruben Jackson & Ado Malcione,Mortgage Brokerage,Pinecrest,"933 Southwest 73rd Road, Pinecrest, Florida",-80.31152,25.68459,6002,933
23-4568650,Gareth Balovitch,Mortgage Brokerage,Deerfield Beach,"1283 Hollows Circle, Deerfield Beach, Florida",-80.13060,26.32619,474,1283
23-4568660,Bernie & Bernie Ltd,Mortgage Brokerage,Deerfield Beach,"1832 Oakridge Court, Deerfield Beach, Florida",-80.14125,26.30674,768,1832
23-4568670,Bernie & Jackson Ltd,Mortgage Brokerage,Miami Gardens,"1995 Northwest 183rd Drive, Miami Gardens, Florida",-80.21634,25.94305,5313,1995
23-4568680,Jackson & Malcom LLC,Mortgage Brokerage,Palmetto Bay,"1210 Southwest 178th Terrace, Palmetto Bay, Florida",-80.33229,25.60455,5721,1210
23-4568690,Minor Swing Ltd,Mortgage Brokerage,Fort Lauderdale,"345 Northwest 9th Court, Fort Lauderdale, Florida",-80.17234,26.13505,2749,345
23-4568700,Minor Swing Financing Ltd,Mortgage Brokerage,Homestead,"176 Southeast 19th Street, Homestead, Florida",-80.44494,25.45116,3523,176
23-4568710,Minor Swing Real Estate LLC,Mortgage Brokerage,Delray Beach,"1674 Lake Avenue North, Delray Beach, Florida",-80.06475,26.48004,1369,1674
23-4568720,Ted & Mario Kazo Llc,Mortgage Brokerage,Cutler Bay,"878 Whispering Pines Road, Cutler Bay, Florida",-80.34131,25.58643,350,878
23-4568730,Giorgi Mezournitch Ltd,Mortgage Brokerage,Delray Beach,"205 Northwest 6th Street, Delray Beach, Florida",-80.10524,26.47360,1591,205
23-4568740,Oliva Finance,Mortgage Brokerage,Fort Lauderdale,"1399 Northwest 19th Terrace, Fort Lauderdale, Florida",-80.16789,26.13270,2583,1399
23-4568750,Oliva Real Estate,Mortgage Brokerage,Delray Beach,"1197 Sherwood Forest Drive, Delray Beach, Florida",-80.11619,26.45592,1696,1197
23-4568760,Oliva Mortgage,Mortgage Brokerage,Kendall,"445 Southwest 95th Avenue, Kendall, Florida",-80.34913,25.64985,4200,445
23-4568770,Kellam Real Estate,Mortgage Brokerage,Kendall,"88 Southwest 114th Place, Kendall, Florida",-80.37840,25.70090,3916,88
23-4568780,Kellam Mortgage,Mortgage Brokerage,Deerfield Beach,"638 Harwood J, Deerfield Beach, Florida",-80.13556,26.30664,466,638
23-4568790,Kellam Finance,Mortgage Brokerage,Miami,"1572 Northwest 48th Court, Miami, Florida",-80.27436,25.77461,4725,1572
23-4568800,Kellam Loans,Mortgage Brokerage,Miami,"1225 Northeast 33rd Street, Miami, Florida",-80.18948,25.80778,4482,1225
23-4568810,Pobiak Real Estate,Mortgage Brokerage,Fort Lauderdale,"1331 Vista Park, Fort Lauderdale, Florida",-80.09966,26.16328,3089,1331
23-4568820,Pobiak Mortgage,Mortgage Brokerage,Fort Lauderdale,"1120 Northwest 27th Terrace, Fort Lauderdale, Florida",-80.17959,26.15027,2636,1120
23-4568830,Pobiak Finance,Mortgage Brokerage,Miami,"14 Southwest 29th Terrace, Miami, Florida",-80.24842,25.73649,5004,14
23-4568840,Pobiak Loans,Mortgage Brokerage,Homestead,"1309 Southwest 314th Terrace, Homestead, Florida",-80.40948,25.47550,3688,1309
23-4568850,Cayla Real Estate,Mortgage Brokerage,Fort Lauderdale,"982 Northwest 10th Way, Fort Lauderdale, Florida",-80.15811,26.18370,2529,982
23-4568860,Cayla Mortgage,Mortgage Brokerage,Miami Gardens,"1889 Northwest 1st Avenue, Miami Gardens, Florida",-80.20394,25.96693,5384,1889
23-4568870,Cayla Finance,Mortgage Brokerage,Deerfield Beach,"323 Southwest 12th Place, Deerfield Beach, Florida",-80.16612,26.29940,890,323
23-4568880,Cayla Loans,Mortgage Brokerage,Miami,"1239 West Fairview Street, Miami, Florida",-80.21999,25.74009,5143,1239
23-4568890,Cayla Franchise Ltd,Mortgage Brokerage,Kendall,"1680 Southwest 101st Terrace, Kendall, Florida",-80.32173,25.67604,3797,1680
23-4568900,Cayla Financing NOW !,Mortgage Brokerage,Delray Beach,"1186 Hummingbird Drive, Delray Beach, Florida",-80.08688,26.42680,1346,1186
