Internal id,first_name,last_name,full_name,email,phone,City,address,Longitude,Latitude,Annual revenues,Profession,Employer,Employer Reg number,Role,Street Reference,Street nr,Nationality
09-6042427,Thornie,Hellen,Thornie Hellen,thellend@list-manage.com,605-402-2167,Cutler Bay,"552 Lisa Road, Cutler Bay, Florida",-80.34673,25.58597,147254.81,Technical Writer,Shuffledrive,85-0002763,Client,54,552,United States
36-5013594,Rip,Heath,Rip Heath,rheathe@livejournal.com,748-503-0461,Fort Lauderdale,"1463 Viramar Street, Fort Lauderdale, Florida",-80.10467,26.12977,385125.97,Nurse,Wordtune,13-0989965,Client,3088,1463,United States
78-0855566,Winston,Eastham,Winston Eastham,weasthamf@home.pl,661-686-7267,Homestead,"1052 College Terrace, Homestead, Florida",-80.47511,25.47439,358641.15,Internal Auditor,Zoovu,19-3998307,Client,3119,1052,United States
23-4716969,Derry,Davies,Derry Davies,ddaviesg@soundcloud.com,521-108-0778,Delray Beach,"703 Northwest 9th Road, Delray Beach, Florida",-80.08405,26.47524,237305.9,Administrative Officer,Oodoo,83-9717106,Client,1601,703,France
17-3260527,Willard,Throssell,Willard Throssell,wthrossellh@quantcast.com,567-606-6068,Deerfield Beach,"650 Northeast 20th Terrace, Deerfield Beach, Florida",-80.07606,26.31521,151592.13,Structural Engineer,Tagtune,83-3521259,Client,539,650,United States
98-4406605,Kipp,Pattesall,Kipp Pattesall,kpattesalli@smugmug.com,457-578-1019,Deerfield Beach,"1827 Farnham Circle, Deerfield Beach, Florida",-80.13262,26.30557,241202.29,Financial Analyst,Zoombox,00-9352661,Client,434,1827,United States
86-1742238,Mordecai,Robbeke,Mordecai Robbeke,mrobbekej@wikia.com,793-634-5482,Delray Beach,"284 Southwest 10th Court, Delray Beach, Florida",-80.09435,26.44586,105296.06,Help Desk Operator,Photospace,63-7688525,Client,1745,284,United States
09-2437308,Ric,Dean,Ric Dean,rdeank@elegantthemes.com,366-789-3793,Palmetto Bay,"1577 Southwest 173rd Street, Palmetto Bay, Florida",-80.31389,25.61067,363786.59,Assistant Professor,Latz,94-0989667,Client,5708,1577,China
63-3538135,Alleyn,Athey,Alleyn Athey,aatheyl@yellowpages.com,886-114-9219,Edgewater,"398 O Possum Camp Road, Edgewater, Florida",-80.95815,28.95078,363417.66,Programmer Analyst III,Quinu,49-6295543,Client,2053,398,United States
30-3308786,Nikolaus,Tylor,Nikolaus Tylor,ntylorm@joomla.org,148-569-9564,Miami,"53 Palm Bay Lane, Miami, Florida",-80.17720,25.84019,57738.43,Human Resources Assistant III,Voolith,70-9079784,Client,4835,53,China
21-9817304,Eliot,Heatherington,Eliot Heatherington,eheatheringtonn@histats.com,783-169-1178,Miami,"1860 M Road, Miami, Florida",-80.24622,25.76237,320578.22,Nuclear Power Engineer,Yozio,60-1548908,Client,4402,1860,North Korea
42-8394307,Giulio,Barltrop,Giulio Barltrop,gbarltropo@joomla.org,457-761-0230,Miami Gardens,"1422 Northwest 207th Terrace, Miami Gardens, Florida",-80.25301,25.96472,351672.96,Senior Quality Engineer,Rhynyx,86-7422829,Client,5411,1422,United States
53-3130163,Thorstein,Cabena,Thorstein Cabena,tcabenap@google.fr,625-725-8664,Kendall,"1337 Southwest 122nd Street, Kendall, Florida",-80.37715,25.65536,296216.82,Administrative Assistant I,Photojam,58-1065268,Client,3969,1337,United States
06-4133104,Haroun,Yeldon,Haroun Yeldon,hyeldonq@cisco.com,214-994-1868,Miami,"45 Northeast 3rd Court, Miami, Florida",-80.19027,25.85142,34352.85,Dental Hygienist,Twitterworks,48-1664020,Client,4493,45,United States
56-5079430,Kris,De Freitas,Kris De Freitas,kder@rambler.ru,500-820-4118,Palmetto Bay,"222 Southwest 137th Street, Palmetto Bay, Florida",-80.31713,25.64316,357943.96,VP Product Management,Meemm,47-7896743,Client,5610,222,Russia
74-2306182,Yorker,Laity,Yorker Laity,ylaitys@vimeo.com,549-151-8858,Homestead,"1622 Civic Court, Homestead, Florida",-80.47445,25.47180,406247.03,Information Systems Manager,Edgeclub,56-2568034,Client,3118,1622,North Korea
57-2356606,Frasquito,Defont,Frasquito Defont,fdefontt@spotify.com,147-892-1135,Delray Beach,"104 Northwest 7th Lane, Delray Beach, Florida",-80.11102,26.47360,256021.95,Quality Engineer,Skinder,32-7738953,Client,1594,104,United States
75-6441152,Abie,Gocher,Abie Gocher,agocheru@free.fr,887-941-3995,Fort Lauderdale,"224 Northwest 11th Avenue, Fort Lauderdale, Florida",-80.15608,26.14981,17585.48,Senior Sales Associate,Realfire,75-5585012,Client,2530,224,France
03-8431463,Sanford,Deare,Sanford Deare,sdearev@state.tx.us,853-268-6081,Palmetto Bay,"828 Southwest 138th Street, Palmetto Bay, Florida",-80.31770,25.64234,182889.32,Account Representative III,Flashdog,21-9502269,Client,5611,828,North Korea
34-9409910,Ethelbert,Keston,Ethelbert Keston,ekestonw@weather.com,289-841-5476,Delray Beach,"1541 Coral Trace Circle West, Delray Beach, Florida",-80.09995,26.46734,410462.62,Software Consultant,Jaxspan,04-2650785,Client,1196,1541,United States
17-1750290,Fredek,Vignal,Fredek Vignal,fvignalx@shop-pro.jp,737-208-3656,Homestead,"270 Northwest 6th Avenue, Homestead, Florida",-80.48566,25.47710,77124.21,Geologist III,Jabberstorm,67-8375605,Client,3373,270,France
94-5799833,Kerk,Sewter,Kerk Sewter,ksewtery@apple.com,601-171-0943,Deerfield Beach,"1953 Southeast 7th Street, Deerfield Beach, Florida",-80.09292,26.30844,102929.38,Clinical Specialist,Aimbu,68-5070237,Client,870,1953,United States
29-9389700,Booth,Turle,Booth Turle,bturlez@amazon.co.jp,863-994-4832,Fort Lauderdale,"1249 Royal Plaza Drive, Fort Lauderdale, Florida",-80.11729,26.11683,385147.46,Marketing Manager,Miboo,60-7282344,Client,2792,1249,North Korea
81-4838916,Antony,Treneman,Antony Treneman,atreneman10@omniture.com,512-535-7004,Pinecrest,"520 Southwest 72nd Court, Pinecrest, Florida",-80.31072,25.64568,39780.74,Technical Writer,Yozio,70-5335595,Client,5997,520,China
58-5578673,Izaak,McKue,Izaak McKue,imckue11@nyu.edu,929-793-3256,Miami,"628 Northeast 3rd Court, Miami, Florida",-80.19027,25.85142,31521.47,Clinical Specialist,Browsecat,99-3180152,Client,4493,628,United States
62-3896694,Ogdon,Hampshaw,Ogdon Hampshaw,ohampshaw12@illinois.edu,604-483-8745,Kendall,"176 89th Lane, Kendall, Florida",-80.37100,25.68485,423417.22,Chemical Engineer,Flipopia,30-6009883,Client,3747,176,United States
86-1521345,Randolph,Milburne,Randolph Milburne,rmilburne13@oracle.com,424-940-3510,Fort Lauderdale,"175 Tortugas Lane, Fort Lauderdale, Florida",-80.19863,26.08971,361814.28,Director of Sales,Jabberstorm,10-9066951,Client,3084,175,United States
78-8499027,Holt,Rontree,Holt Rontree,hrontree14@hud.gov,614-276-9347,Edgewater,"467 Masthead Lane, Edgewater, Florida",-80.88100,28.94717,153190.44,Geological Engineer,Twinte,58-2805622,Client,2034,467,United States
61-0443816,Gino,Whittick,Gino Whittick,gwhittick15@huffingtonpost.com,794-587-8964,Delray Beach,"1523 Snapper Way, Delray Beach, Florida",-80.10259,26.47152,7649.72,Cost Accountant,Jetwire,44-9165506,Client,1700,1523,United States
26-5635826,Arel,Fairbourn,Arel Fairbourn,afairbourn16@chronoengine.com,118-233-3994,Palmetto Bay,"470 Southwest 83rd Court, Palmetto Bay, Florida",-80.32845,25.62760,340587.16,Editor,Edgetag,70-0551177,Client,5781,470,United States
06-4341737,Benjie,Bretland,Benjie Bretland,bbretland17@altervista.org,405-180-7595,Miami,"522 Southwest 30th Avenue, Miami, Florida",-80.24196,25.74079,170071.85,Programmer IV,Buzzshare,46-8749106,Client,5011,522,United States
76-9979521,Amby,Schuelcke,Amby Schuelcke,aschuelcke18@privacy.gov.au,820-283-7407,Fort Lauderdale,"912 Northeast 30th Avenue, Fort Lauderdale, Florida",-80.10509,26.16773,64741.69,Web Designer IV,Bubbletube,27-2835100,Client,2423,912,United States
71-6033832,Gilbert,Rubinlicht,Gilbert Rubinlicht,grubinlicht19@etsy.com,678-984-6956,Edgewater,"86 Willow Oak Drive, Edgewater, Florida",-80.91587,28.96506,103035.17,Geologist IV,Abatz,56-0440362,Client,2149,86,China
05-6062299,Shelley,Picott,Shelley Picott,spicott1a@sakura.ne.jp,263-889-5824,Miami,"309 Northwest 56th Avenue, Miami, Florida",-80.28655,25.77358,446194.51,Nuclear Power Engineer,Voonte,16-7861376,Client,4750,309,North Korea
77-5849768,Fredek,Castiglione,Fredek Castiglione,fcastiglione1b@weebly.com,664-637-5637,Deerfield Beach,"1458 Southwest 1st Court, Deerfield Beach, Florida",-80.10491,26.31696,393428.43,Financial Advisor,Avavee,47-1555495,Client,923,1458,North Korea
77-7088852,Alwin,Axleby,Alwin Axleby,aaxleby1c@miitbeian.gov.cn,147-884-0320,Fort Lauderdale,"1742 Northwest 48th Street, Fort Lauderdale, Florida",-80.15785,26.18567,133318.24,Graphic Designer,Eare,22-4086749,Client,2685,1742,China
86-8460478,Zerk,Archer,Zerk Archer,zarcher1d@indiegogo.com,547-874-7761,Deerfield Beach,"1762 Southeast 21st Avenue, Deerfield Beach, Florida",-80.07630,26.30926,25319.01,Human Resources Manager,Dabtype,63-4111622,Client,847,1762,United States
26-3502260,Chester,Imort,Chester Imort,cimort1e@cpanel.net,296-149-3355,Deerfield Beach,"1820 Northwest 2nd Street, Deerfield Beach, Florida",-80.10484,26.32058,350936.72,Business Systems Development Analyst,Roomm,39-7880144,Client,655,1820,United States
26-6840830,Lock,Kearle,Lock Kearle,lkearle1f@hubpages.com,176-885-9436,Homestead,"1171 Northeast 18th Street, Homestead, Florida",-80.47438,25.48722,264088.7,Geological Engineer,Abatz,99-7338249,Client,3221,1171,United States
27-7577685,Logan,Manwaring,Logan Manwaring,lmanwaring1g@globo.com,518-986-9863,Deerfield Beach,"890 Southeast 2nd Street, Deerfield Beach, Florida",-80.08763,26.31496,293685.54,Administrative Officer,Aimbo,75-6262334,Client,850,890,United States
09-5721533,Evyn,Drohane,Evyn Drohane,edrohane1h@goo.ne.jp,658-174-2319,Homestead,"1415 Independence Trail, Homestead, Florida",-80.46481,25.45940,246779.31,Senior Quality Engineer,Realcube,71-8341139,Client,3137,1415,North Korea
00-4961300,Greggory,Cronchey,Greggory Cronchey,gcronchey1i@zdnet.com,803-190-4469,Miami,"543 Northeast 3rd Avenue, Miami, Florida",-80.18864,25.77527,161080.64,Teacher,Gabcube,47-3255926,Client,4490,543,United States
69-9481829,Dimitry,Cutress,Dimitry Cutress,dcutress1j@businessinsider.com,543-353-7416,Palmetto Bay,"1437 Southwest 84th Place, Palmetto Bay, Florida",-80.33052,25.61948,76973.53,Assistant Manager,Skaboo,64-7086030,Client,5786,1437,United States
31-8014324,Terry,Nelane,Terry Nelane,tnelane1k@timesonline.co.uk,502-733-0346,Delray Beach,"1200 Cherry Laurel Lane, Delray Beach, Florida",-80.11643,26.42964,410016.87,Account Executive,Thoughtstorm,30-5853116,Client,1169,1200,China
82-2686383,Care,Flippen,Care Flippen,cflippen1l@aol.com,161-424-8752,Homestead,"463 Northeast 40th Drive, Homestead, Florida",-80.41783,25.48837,286102.64,Senior Editor,Skimia,33-8500149,Client,3294,463,United States
28-6717738,Vick,Lovstrom,Vick Lovstrom,vlovstrom1m@discuz.net,202-650-0424,Delray Beach,"1804 Oakview Court, Delray Beach, Florida",-80.11096,26.45591,398352.24,Web Designer II,Abatz,44-9232179,Client,1605,1804,United States
85-4156279,Chance,Binnell,Chance Binnell,cbinnell1n@mozilla.org,756-403-4091,Pompano Beach,"666 Northwest 18th Court, Pompano Beach, Florida",-80.13078,26.25338,348884.48,Civil Engineer,Mybuzz,46-9636664,Client,6371,666,United States
24-1990792,Jeramie,Cowell,Jeramie Cowell,jcowell1o@seattletimes.com,227-946-2752,Deerfield Beach,"391 Northwest 13th Terrace, Deerfield Beach, Florida",-80.14274,26.29071,222924.24,Paralegal,Midel,37-1463475,Client,633,391,United States
05-8940738,Anderson,Dyet,Anderson Dyet,adyet1p@abc.net.au,411-649-4893,Palmetto Bay,"996 Southwest 176th Terrace, Palmetto Bay, Florida",-80.33237,25.60618,178620.5,Technical Writer,Miboo,96-4368567,Client,5716,996,China
21-4586108,Nikolos,Redholes,Nikolos Redholes,nredholes1q@lulu.com,716-723-8161,Homestead,"1171 Northwest 8th Avenue, Homestead, Florida",-80.48766,25.47891,250536.93,Systems Administrator II,Ntags,91-8480231,Client,3377,1171,United States
67-6342432,Brice,Cerman,Brice Cerman,bcerman1r@pbs.org,382-351-4059,Homestead,"1970 Southeast 19th Place, Homestead, Florida",-80.43822,25.45342,52563.24,Nurse Practicioner,Jaxworks,72-4477860,Client,3522,1970,North Korea
39-4613186,Josias,Kingswold,Josias Kingswold,jkingswold1s@etsy.com,108-379-4966,Pinecrest,"617 Southwest 59th Avenue, Pinecrest, Florida",-80.28899,25.67856,77463.24,Account Coordinator,Tavu,17-0993992,Client,5952,617,United States
20-0914675,Jamill,De Pero,Jamill De Pero,jde1t@php.net,957-159-7704,Fort Lauderdale,"1618 Wilton Drive, Fort Lauderdale, Florida",-80.14082,26.15075,147413.85,Information Systems Manager,Kanoodle,21-5212943,Client,3105,1618,United States
49-9932481,Ward,Rodinger,Ward Rodinger,wrodinger1u@buzzfeed.com,555-973-4228,Delray Beach,"173 South Drive Way, Delray Beach, Florida",-80.10984,26.46469,29719.53,Geologist IV,Brainbox,76-8297083,Client,1712,173,United States
11-6830510,Hieronymus,Smallpeace,Hieronymus Smallpeace,hsmallpeace1v@wp.com,145-546-1620,Homestead,"1053 Southeast 22nd Drive, Homestead, Florida",-80.44868,25.44885,2527.38,Executive Secretary,Nlounge,50-8579868,Client,3543,1053,China
36-0954209,Dalston,Cowan,Dalston Cowan,dcowan1w@shareasale.com,824-125-1060,Homestead,"1435 Northeast 41st Road, Homestead, Florida",-80.41547,25.49571,32926.92,Food Chemist,Realbridge,63-9618303,Client,3300,1435,United States
16-2829035,Warren,Saynor,Warren Saynor,wsaynor1x@blogs.com,644-972-4467,Delray Beach,"916 Northeast 5th Court, Delray Beach, Florida",-80.07040,26.47081,121351.48,Developer III,Tekfly,10-2072984,Client,1483,916,Russia
59-3484281,Banky,Spreckley,Banky Spreckley,bspreckley1y@csmonitor.com,611-622-9405,Homestead,"982 Southeast 23rd Path, Homestead, Florida",-80.45193,25.44939,232610.89,Health Coach IV,Latz,30-9834906,Client,3552,982,United States
38-5313678,Turner,Whiteford,Turner Whiteford,twhiteford1z@europa.eu,818-441-0885,Delray Beach,"1211 Danson Way, Delray Beach, Florida",-80.11644,26.48320,355496.07,Account Representative II,Nlounge,00-3001903,Client,1213,1211,North Korea
65-1228213,Conny,Gregorin,Conny Gregorin,cgregorin20@goo.gl,223-647-0026,Miami Gardens,"193 Northwest 195th Street, Miami Gardens, Florida",-80.24965,25.95176,150961.03,VP Quality Control,Flashpoint,24-7988886,Client,5363,193,United States
71-3488894,Tobit,Tucknutt,Tobit Tucknutt,ttucknutt21@prnewswire.com,269-102-4284,Fort Lauderdale,"832 SW 3rd Court, Fort Lauderdale, Florida",-80.15944,26.11814,194969.2,VP Accounting,Camido,40-7970970,Client,3074,832,United States
17-6617877,Tremaine,Bortolotti,Tremaine Bortolotti,tbortolotti22@trellian.com,489-797-9741,Homestead,"52 Northwest 4th Avenue, Homestead, Florida",-80.48358,25.48517,238210.16,Staff Scientist,Buzzdog,27-6176862,Client,3367,52,United States
64-0177029,Ambrosi,Havile,Ambrosi Havile,ahavile23@washingtonpost.com,261-936-0825,Pompano Beach,"1575 South Riverside Drive, Pompano Beach, Florida",-80.09317,26.23040,325422.42,Dental Hygienist,Demimbu,35-0615520,Client,6526,1575,United States
33-9215042,Corbet,Douty,Corbet Douty,cdouty24@printfriendly.com,546-852-8494,Delray Beach,"813 Atlantic Grove Way, Delray Beach, Florida",-80.07692,26.46322,357809.16,Help Desk Technician,Wordify,98-2010932,Client,1086,813,United States
28-6304005,Chane,Coggell,Chane Coggell,ccoggell25@liveinternet.ru,229-459-7108,Cutler Bay,"17 Southwest 200th Terrace, Cutler Bay, Florida",-80.35757,25.58035,433331.75,Nurse,Twinder,34-8053958,Client,154,17,United States
23-1004785,Gabby,Andriveau,Gabby Andriveau,gandriveau26@cdbaby.com,864-163-3677,Deerfield Beach,"870 Northeast 6th Avenue, Deerfield Beach, Florida",-80.09576,26.32192,100024.11,Help Desk Operator,Bluejam,06-3312922,Client,607,870,United States
95-2555020,Allan,D'Aulby,Allan D'Aulby,adaulby27@home.pl,992-968-7568,Miami,"1916 Brooker Street, Miami, Florida",-80.25553,25.72517,424696.68,Sales Associate,Quamba,67-7836134,Client,4286,1916,United States
82-7670837,Aldo,Fridaye,Aldo Fridaye,afridaye28@umich.edu,579-925-1707,Fort Lauderdale,"1723 South Ocean Drive, Fort Lauderdale, Florida",-80.10827,26.10226,273292.34,Senior Developer,Yadel,39-2130613,Client,2818,1723,North Korea
71-1091950,Benn,Pinckney,Benn Pinckney,bpinckney29@jugem.jp,461-138-3873,Delray Beach,"248 Cocoanut Road, Delray Beach, Florida",-80.07215,26.48915,240214.84,Environmental Specialist,Kwilith,04-4319079,Client,1183,248,United States
05-9810935,Chicky,Demanche,Chicky Demanche,cdemanche2a@purevolume.com,911-552-0365,Homestead,"1914 Southwest 133rd Avenue, Homestead, Florida",-80.40782,25.47754,163622.47,Senior Sales Associate,Thoughtsphere,68-3229901,Client,3643,1914,France
63-4486672,Anatol,Shelliday,Anatol Shelliday,ashelliday2b@tripadvisor.com,256-427-1454,Fort Lauderdale,"726 Northeast 25th Court, Fort Lauderdale, Florida",-80.10958,26.15899,437434.72,Web Developer III,Jabbersphere,22-2298279,Client,2400,726,France
04-7012806,Darnell,Tyre,Darnell Tyre,dtyre2c@vinaora.com,736-440-6440,Pompano Beach,"331 Northeast 25th Court, Pompano Beach, Florida",-80.11134,26.26273,134372.13,Graphic Designer,Twitterworks,45-0556817,Client,6230,331,United States
68-0486677,Colet,Andrejs,Colet Andrejs,candrejs2d@ovh.net,139-976-5239,Miami Gardens,"1409 Northwest 174th Terrace, Miami Gardens, Florida",-80.23888,25.93319,68753.16,Senior Quality Engineer,Skibox,75-7544980,Client,5280,1409,United States
73-6467333,Cyrus,Treweek,Cyrus Treweek,ctreweek2e@newsvine.com,760-974-0172,Homestead,"1659 Southeast 21st Lane, Homestead, Florida",-80.44700,25.46572,51930.78,Administrative Officer,Zoomzone,60-7649006,Client,3539,1659,United States
99-7946702,Terrance,Fairbourn,Terrance Fairbourn,tfairbourn2f@surveymonkey.com,791-895-4527,Miami Gardens,"1138 Northwest 7th Court, Miami Gardens, Florida",-80.21463,25.95530,335542.29,Web Designer I,Eimbee,79-8003778,Client,5552,1138,North Korea
11-3203813,Devlin,Huie,Devlin Huie,dhuie2g@seesaa.net,727-298-9362,Deerfield Beach,"807 Southwest 15th Court, Deerfield Beach, Florida",-80.10889,26.29649,151902.17,Database Administrator IV,Oba,03-9049445,Client,908,807,China
70-9429898,Giuseppe,Raubenheimers,Giuseppe Raubenheimers,graubenheimers2h@slate.com,728-340-2075,Homestead,"183 Northeast 13th Circle Drive, Homestead, Florida",-80.42660,25.48312,250649,Quality Engineer,Skiptube,43-6413385,Client,3201,183,United States
32-2816838,Tuck,Margerrison,Tuck Margerrison,tmargerrison2i@netvibes.com,759-683-0508,Fort Lauderdale,"72 Southeast 26th Avenue, Fort Lauderdale, Florida",-80.11152,26.11877,288868.6,Recruiting Manager,Devbug,60-7564644,Client,2870,72,North Korea
81-7256206,Daren,Murgatroyd,Daren Murgatroyd,dmurgatroyd2j@yahoo.com,771-353-7821,Pompano Beach,"1281 Southwest 14th Street, Pompano Beach, Florida",-80.12801,26.21242,298651.93,Software Engineer III,Zoozzy,82-4210877,Client,6609,1281,United States
96-4347870,Shamus,Blowin,Shamus Blowin,sblowin2k@w3.org,364-536-0270,Kendall,"202 Southwest 69th Terrace, Kendall, Florida",-80.37661,25.70336,140559.96,Cost Accountant,Zazio,51-4914339,Client,4048,202,United States
67-2570884,Humfried,Gimlet,Humfried Gimlet,hgimlet2l@networksolutions.com,127-115-6154,Miami,"600 Main Highway, Miami, Florida",-80.24516,25.72484,139599.7,Paralegal,Quatz,58-0062669,Client,4404,600,France
93-9153808,Ashton,Jeune,Ashton Jeune,ajeune2m@reddit.com,854-921-0327,Pompano Beach,"1383 Banyan Circle, Pompano Beach, Florida",-80.18215,26.21054,33949.07,VP Accounting,Flashspan,89-3576476,Client,6061,1383,United States
38-6556337,Joshia,Pentelo,Joshia Pentelo,jpentelo2n@msu.edu,132-783-1486,Fort Lauderdale,"96 Southeast 6th Terrace, Fort Lauderdale, Florida",-80.13609,26.10880,366084.4,Research Associate,Jayo,87-9893789,Client,2889,96,United States
08-7588576,Hoyt,Hise,Hoyt Hise,hhise2o@ezinearticles.com,848-704-5631,Miami,"954 Northeast 56th Street, Miami, Florida",-80.18658,25.82758,358253.86,Sales Representative,Camimbo,73-2099142,Client,4514,954,United States
69-4903902,Dunstan,Payn,Dunstan Payn,dpayn2p@woothemes.com,602-115-4970,Miami,"923 Northwest 12th Terrace, Miami, Florida",-80.25584,25.78424,259622.23,VP Accounting,Jabberstorm,27-2470674,Client,4608,923,Russia
89-3085806,Tobiah,Shillum,Tobiah Shillum,tshillum2q@cmu.edu,753-993-7344,Pompano Beach,"164 Northwest 15th Terrace, Pompano Beach, Florida",-80.14441,26.27107,83106.5,Account Coordinator,Twitterlist,29-8345094,Client,6352,164,North Korea
28-1196158,Godfrey,Durante,Godfrey Durante,gdurante2r@sohu.com,557-604-3338,Pinecrest,"338 Southwest 68th Avenue, Pinecrest, Florida",-80.30542,25.67096,172222.65,Senior Sales Associate,Yamia,18-7674674,Client,5981,338,United States
31-5530201,Wade,Beedell,Wade Beedell,wbeedell2s@reverbnation.com,798-174-9907,Cutler Bay,"1694 Southwest 228th Lane, Cutler Bay, Florida",-80.33682,25.55528,22787.4,Analyst Programmer,Avamm,66-5907152,Client,241,1694,United States
57-4689058,Town,Gerant,Town Gerant,tgerant2t@phpbb.com,216-724-8376,Homestead,"920 Turner Circle, Homestead, Florida",-80.48718,25.46629,30968.09,Programmer Analyst II,Feedfire,65-0480207,Client,3735,920,United States
94-6951764,Danya,Shirlaw,Danya Shirlaw,dshirlaw2u@time.com,114-453-8427,Pompano Beach,"1718 Northeast 16th Street, Pompano Beach, Florida",-80.09243,26.25299,428192.38,Pharmacist,Kazio,45-5128797,Client,6183,1718,United States
72-2665184,Clayborne,Levane,Clayborne Levane,clevane2v@paginegialle.it,328-327-6628,Edgewater,"1522 Top Side, Edgewater, Florida",-80.88068,28.95051,328657.58,Structural Engineer,Rhyzio,70-3229717,Client,2120,1522,North Korea
25-5226428,Lonnie,Drane,Lonnie Drane,ldrane2w@who.int,483-234-2002,Pompano Beach,"925 Northeast 18th Terrace, Pompano Beach, Florida",-80.09885,26.29534,139322.89,VP Product Management,Shuffledrive,85-0002763,Client,6198,925,United States
17-0107307,Clywd,Hanks,Clywd Hanks,chanks2x@umn.edu,927-847-0294,Miami Gardens,"564 Northwest 185th Terrace, Miami Gardens, Florida",-80.26354,25.94253,25654.2,Accountant IV,Wordtune,13-0989965,Client,5326,564,United States
22-9476315,Filmer,Iredell,Filmer Iredell,firedell2y@macromedia.com,760-950-2578,Fort Lauderdale,"609 Northeast 65th Court, Fort Lauderdale, Florida",-80.12116,26.20777,421248.43,Editor,Zoovu,19-3998307,Client,2504,609,United States
73-2075446,Brenden,Demonge,Brenden Demonge,bdemonge2z@shinystat.com,204-819-0498,Fort Lauderdale,"907 Granada Street, Fort Lauderdale, Florida",-80.10469,26.12657,423940.9,Analyst Programmer,Oodoo,83-9717106,Client,2248,907,North Korea
16-2431258,Alley,Hellin,Alley Hellin,ahellin30@redcross.org,550-570-5897,Miami Gardens,"1633 Northwest 194th Terrace, Miami Gardens, Florida",-80.25937,25.95094,282129.78,Geological Engineer,freelance,,Client,5361,1633,United States
98-3793686,Frederick,Hellyer,Frederick Hellyer,fhellyer31@networksolutions.com,986-191-9567,Homestead,"1388 Valencia Gardens Drive, Homestead, Florida",-80.45817,25.44520,397923.48,Human Resources Assistant II,freelance,,Client,3736,1388,Russia
